"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
25,"SingleProbe","Binding",4,0,7,18
25,"SingleProbe","Binding",4,1,8,18
25,"SingleProbe","Binding",6,0,8,18
25,"SingleProbe","Binding",6,1,7,18
25,"SingleProbe","Colour",4,0,6,18
25,"SingleProbe","Colour",4,1,17,18
25,"SingleProbe","Colour",6,0,4,18
25,"SingleProbe","Colour",6,1,14,18
25,"SingleProbe","Shape",4,0,3,18
25,"SingleProbe","Shape",4,1,12,18
25,"SingleProbe","Shape",6,0,3,18
25,"SingleProbe","Shape",6,1,9,18
25,"WholeDisplay","Binding",4,0,4,18
25,"WholeDisplay","Binding",4,1,10,18
25,"WholeDisplay","Binding",6,0,5,18
25,"WholeDisplay","Binding",6,1,10,18
25,"WholeDisplay","Colour",4,0,4,18
25,"WholeDisplay","Colour",4,1,14,18
25,"WholeDisplay","Colour",6,0,3,18
25,"WholeDisplay","Colour",6,1,11,18
25,"WholeDisplay","Shape",4,0,5,18
25,"WholeDisplay","Shape",4,1,14,18
25,"WholeDisplay","Shape",6,0,5,18
25,"WholeDisplay","Shape",6,1,7,18
26,"SingleProbe","Binding",4,0,7,18
26,"SingleProbe","Binding",4,1,12,18
26,"SingleProbe","Binding",6,0,8,18
26,"SingleProbe","Binding",6,1,15,18
26,"SingleProbe","Colour",4,0,2,18
26,"SingleProbe","Colour",4,1,16,18
26,"SingleProbe","Colour",6,0,2,18
26,"SingleProbe","Colour",6,1,16,18
26,"SingleProbe","Shape",4,0,4,18
26,"SingleProbe","Shape",4,1,15,18
26,"SingleProbe","Shape",6,0,2,18
26,"SingleProbe","Shape",6,1,11,18
26,"WholeDisplay","Binding",4,0,4,18
26,"WholeDisplay","Binding",4,1,11,18
26,"WholeDisplay","Binding",6,0,5,18
26,"WholeDisplay","Binding",6,1,9,18
26,"WholeDisplay","Colour",4,0,3,18
26,"WholeDisplay","Colour",4,1,18,18
26,"WholeDisplay","Colour",6,0,4,18
26,"WholeDisplay","Colour",6,1,15,18
26,"WholeDisplay","Shape",4,0,4,18
26,"WholeDisplay","Shape",4,1,15,18
26,"WholeDisplay","Shape",6,0,5,18
26,"WholeDisplay","Shape",6,1,13,18
27,"SingleProbe","Binding",4,0,3,18
27,"SingleProbe","Binding",4,1,12,18
27,"SingleProbe","Binding",6,0,12,18
27,"SingleProbe","Binding",6,1,13,18
27,"SingleProbe","Colour",4,0,5,18
27,"SingleProbe","Colour",4,1,16,18
27,"SingleProbe","Colour",6,0,6,18
27,"SingleProbe","Colour",6,1,15,18
27,"SingleProbe","Shape",4,0,4,18
27,"SingleProbe","Shape",4,1,14,18
27,"SingleProbe","Shape",6,0,2,18
27,"SingleProbe","Shape",6,1,17,18
27,"WholeDisplay","Binding",4,0,6,18
27,"WholeDisplay","Binding",4,1,9,18
27,"WholeDisplay","Binding",6,0,2,18
27,"WholeDisplay","Binding",6,1,7,18
27,"WholeDisplay","Colour",4,0,0,18
27,"WholeDisplay","Colour",4,1,16,18
27,"WholeDisplay","Colour",6,0,0,18
27,"WholeDisplay","Colour",6,1,15,18
27,"WholeDisplay","Shape",4,0,3,18
27,"WholeDisplay","Shape",4,1,15,18
27,"WholeDisplay","Shape",6,0,1,18
27,"WholeDisplay","Shape",6,1,15,18
28,"SingleProbe","Binding",4,0,4,18
28,"SingleProbe","Binding",4,1,15,18
28,"SingleProbe","Binding",6,0,6,18
28,"SingleProbe","Binding",6,1,15,18
28,"SingleProbe","Colour",4,0,4,18
28,"SingleProbe","Colour",4,1,17,18
28,"SingleProbe","Colour",6,0,6,18
28,"SingleProbe","Colour",6,1,16,18
28,"SingleProbe","Shape",4,0,4,18
28,"SingleProbe","Shape",4,1,12,18
28,"SingleProbe","Shape",6,0,6,18
28,"SingleProbe","Shape",6,1,14,18
28,"WholeDisplay","Binding",4,0,3,18
28,"WholeDisplay","Binding",4,1,12,18
28,"WholeDisplay","Binding",6,0,1,18
28,"WholeDisplay","Binding",6,1,11,18
28,"WholeDisplay","Colour",4,0,0,18
28,"WholeDisplay","Colour",4,1,18,18
28,"WholeDisplay","Colour",6,0,0,18
28,"WholeDisplay","Colour",6,1,18,18
28,"WholeDisplay","Shape",4,0,3,18
28,"WholeDisplay","Shape",4,1,16,18
28,"WholeDisplay","Shape",6,0,4,18
28,"WholeDisplay","Shape",6,1,8,18
29,"SingleProbe","Binding",4,0,5,18
29,"SingleProbe","Binding",4,1,14,18
29,"SingleProbe","Binding",6,0,3,18
29,"SingleProbe","Binding",6,1,11,18
29,"SingleProbe","Colour",4,0,5,18
29,"SingleProbe","Colour",4,1,15,18
29,"SingleProbe","Colour",6,0,7,18
29,"SingleProbe","Colour",6,1,13,18
29,"SingleProbe","Shape",4,0,4,18
29,"SingleProbe","Shape",4,1,16,18
29,"SingleProbe","Shape",6,0,9,18
29,"SingleProbe","Shape",6,1,15,18
29,"WholeDisplay","Binding",4,0,2,18
29,"WholeDisplay","Binding",4,1,13,18
29,"WholeDisplay","Binding",6,0,6,18
29,"WholeDisplay","Binding",6,1,16,18
29,"WholeDisplay","Colour",4,0,6,18
29,"WholeDisplay","Colour",4,1,16,18
29,"WholeDisplay","Colour",6,0,5,18
29,"WholeDisplay","Colour",6,1,10,18
29,"WholeDisplay","Shape",4,0,2,18
29,"WholeDisplay","Shape",4,1,15,18
29,"WholeDisplay","Shape",6,0,3,18
29,"WholeDisplay","Shape",6,1,11,18
30,"SingleProbe","Binding",4,0,8,18
30,"SingleProbe","Binding",4,1,14,18
30,"SingleProbe","Binding",6,0,8,18
30,"SingleProbe","Binding",6,1,11,18
30,"SingleProbe","Colour",4,0,6,18
30,"SingleProbe","Colour",4,1,15,18
30,"SingleProbe","Colour",6,0,9,18
30,"SingleProbe","Colour",6,1,17,18
30,"SingleProbe","Shape",4,0,6,18
30,"SingleProbe","Shape",4,1,11,18
30,"SingleProbe","Shape",6,0,6,18
30,"SingleProbe","Shape",6,1,13,18
30,"WholeDisplay","Binding",4,0,6,18
30,"WholeDisplay","Binding",4,1,12,18
30,"WholeDisplay","Binding",6,0,9,18
30,"WholeDisplay","Binding",6,1,6,18
30,"WholeDisplay","Colour",4,0,4,18
30,"WholeDisplay","Colour",4,1,14,18
30,"WholeDisplay","Colour",6,0,7,18
30,"WholeDisplay","Colour",6,1,9,18
30,"WholeDisplay","Shape",4,0,6,18
30,"WholeDisplay","Shape",4,1,11,18
30,"WholeDisplay","Shape",6,0,3,18
30,"WholeDisplay","Shape",6,1,5,18
31,"SingleProbe","Binding",4,0,8,18
31,"SingleProbe","Binding",4,1,13,18
31,"SingleProbe","Binding",6,0,9,18
31,"SingleProbe","Binding",6,1,14,18
31,"SingleProbe","Colour",4,0,8,18
31,"SingleProbe","Colour",4,1,17,18
31,"SingleProbe","Colour",6,0,9,18
31,"SingleProbe","Colour",6,1,16,18
31,"SingleProbe","Shape",4,0,2,18
31,"SingleProbe","Shape",4,1,10,18
31,"SingleProbe","Shape",6,0,1,18
31,"SingleProbe","Shape",6,1,8,18
31,"WholeDisplay","Binding",4,0,3,18
31,"WholeDisplay","Binding",4,1,9,18
31,"WholeDisplay","Binding",6,0,2,18
31,"WholeDisplay","Binding",6,1,10,18
31,"WholeDisplay","Colour",4,0,3,18
31,"WholeDisplay","Colour",4,1,11,18
31,"WholeDisplay","Colour",6,0,0,18
31,"WholeDisplay","Colour",6,1,6,18
31,"WholeDisplay","Shape",4,0,1,18
31,"WholeDisplay","Shape",4,1,17,18
31,"WholeDisplay","Shape",6,0,2,18
31,"WholeDisplay","Shape",6,1,4,18
32,"SingleProbe","Binding",4,0,4,18
32,"SingleProbe","Binding",4,1,11,18
32,"SingleProbe","Binding",6,0,8,18
32,"SingleProbe","Binding",6,1,16,18
32,"SingleProbe","Colour",4,0,8,18
32,"SingleProbe","Colour",4,1,16,18
32,"SingleProbe","Colour",6,0,10,18
32,"SingleProbe","Colour",6,1,17,18
32,"SingleProbe","Shape",4,0,4,18
32,"SingleProbe","Shape",4,1,16,18
