"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
1,"SingleProbe","Binding",4,0,1,18
1,"SingleProbe","Binding",4,1,16,18
1,"SingleProbe","Binding",6,0,4,18
1,"SingleProbe","Binding",6,1,15,18
1,"SingleProbe","Colour",4,0,3,18
1,"SingleProbe","Colour",4,1,17,18
1,"SingleProbe","Colour",6,0,8,18
1,"SingleProbe","Colour",6,1,16,18
1,"SingleProbe","Shape",4,0,2,18
1,"SingleProbe","Shape",4,1,15,18
1,"SingleProbe","Shape",6,0,5,18
1,"SingleProbe","Shape",6,1,15,18
1,"WholeDisplay","Binding",4,0,2,18
1,"WholeDisplay","Binding",4,1,13,18
1,"WholeDisplay","Binding",6,0,3,18
1,"WholeDisplay","Binding",6,1,9,18
1,"WholeDisplay","Colour",4,0,1,18
1,"WholeDisplay","Colour",4,1,17,18
1,"WholeDisplay","Colour",6,0,2,18
1,"WholeDisplay","Colour",6,1,12,18
1,"WholeDisplay","Shape",4,0,1,18
1,"WholeDisplay","Shape",4,1,15,18
1,"WholeDisplay","Shape",6,0,1,18
1,"WholeDisplay","Shape",6,1,7,18
2,"SingleProbe","Binding",4,0,3,18
2,"SingleProbe","Binding",4,1,14,18
2,"SingleProbe","Binding",6,0,6,18
2,"SingleProbe","Binding",6,1,13,18
2,"SingleProbe","Colour",4,0,0,18
2,"SingleProbe","Colour",4,1,16,18
2,"SingleProbe","Colour",6,0,6,18
2,"SingleProbe","Colour",6,1,15,18
2,"SingleProbe","Shape",4,0,6,18
2,"SingleProbe","Shape",4,1,16,18
2,"SingleProbe","Shape",6,0,6,18
2,"SingleProbe","Shape",6,1,16,18
2,"WholeDisplay","Binding",4,0,5,18
2,"WholeDisplay","Binding",4,1,10,18
2,"WholeDisplay","Binding",6,0,2,18
2,"WholeDisplay","Binding",6,1,9,18
2,"WholeDisplay","Colour",4,0,2,18
2,"WholeDisplay","Colour",4,1,17,18
2,"WholeDisplay","Colour",6,0,2,18
2,"WholeDisplay","Colour",6,1,14,18
2,"WholeDisplay","Shape",4,0,1,18
2,"WholeDisplay","Shape",4,1,15,18
2,"WholeDisplay","Shape",6,0,6,18
2,"WholeDisplay","Shape",6,1,9,18
3,"SingleProbe","Binding",4,0,4,18
3,"SingleProbe","Binding",4,1,15,18
3,"SingleProbe","Binding",6,0,3,18
3,"SingleProbe","Binding",6,1,16,18
3,"SingleProbe","Colour",4,0,1,18
3,"SingleProbe","Colour",4,1,18,18
3,"SingleProbe","Colour",6,0,2,18
3,"SingleProbe","Colour",6,1,15,18
3,"SingleProbe","Shape",4,0,5,18
3,"SingleProbe","Shape",4,1,16,18
3,"SingleProbe","Shape",6,0,3,18
3,"SingleProbe","Shape",6,1,18,18
3,"WholeDisplay","Binding",4,0,5,18
3,"WholeDisplay","Binding",4,1,7,18
3,"WholeDisplay","Binding",6,0,4,18
3,"WholeDisplay","Binding",6,1,11,18
3,"WholeDisplay","Colour",4,0,1,18
3,"WholeDisplay","Colour",4,1,17,18
3,"WholeDisplay","Colour",6,0,6,18
3,"WholeDisplay","Colour",6,1,17,18
3,"WholeDisplay","Shape",4,0,3,18
3,"WholeDisplay","Shape",4,1,17,18
3,"WholeDisplay","Shape",6,0,8,18
3,"WholeDisplay","Shape",6,1,14,18
4,"SingleProbe","Binding",4,0,4,18
4,"SingleProbe","Binding",4,1,14,18
4,"SingleProbe","Binding",6,0,8,18
4,"SingleProbe","Binding",6,1,14,18
4,"SingleProbe","Colour",4,0,6,18
4,"SingleProbe","Colour",4,1,17,18
4,"SingleProbe","Colour",6,0,10,18
4,"SingleProbe","Colour",6,1,16,18
4,"SingleProbe","Shape",4,0,5,18
4,"SingleProbe","Shape",4,1,17,18
4,"SingleProbe","Shape",6,0,12,18
4,"SingleProbe","Shape",6,1,17,18
4,"WholeDisplay","Binding",4,0,1,18
4,"WholeDisplay","Binding",4,1,11,18
4,"WholeDisplay","Binding",6,0,4,18
4,"WholeDisplay","Binding",6,1,7,18
4,"WholeDisplay","Colour",4,0,3,18
4,"WholeDisplay","Colour",4,1,17,18
4,"WholeDisplay","Colour",6,0,1,18
4,"WholeDisplay","Colour",6,1,16,18
4,"WholeDisplay","Shape",4,0,1,18
4,"WholeDisplay","Shape",4,1,11,18
4,"WholeDisplay","Shape",6,0,2,18
4,"WholeDisplay","Shape",6,1,6,18
5,"SingleProbe","Binding",4,0,0,18
5,"SingleProbe","Binding",4,1,14,18
5,"SingleProbe","Binding",6,0,5,18
5,"SingleProbe","Binding",6,1,14,18
5,"SingleProbe","Colour",4,0,5,18
5,"SingleProbe","Colour",4,1,16,18
5,"SingleProbe","Colour",6,0,7,18
5,"SingleProbe","Colour",6,1,16,18
5,"SingleProbe","Shape",4,0,3,18
5,"SingleProbe","Shape",4,1,14,18
5,"SingleProbe","Shape",6,0,7,18
5,"SingleProbe","Shape",6,1,12,18
5,"WholeDisplay","Binding",4,0,6,18
5,"WholeDisplay","Binding",4,1,12,18
5,"WholeDisplay","Binding",6,0,8,18
5,"WholeDisplay","Binding",6,1,14,18
5,"WholeDisplay","Colour",4,0,2,18
5,"WholeDisplay","Colour",4,1,18,18
5,"WholeDisplay","Colour",6,0,6,18
5,"WholeDisplay","Colour",6,1,12,18
5,"WholeDisplay","Shape",4,0,4,18
5,"WholeDisplay","Shape",4,1,13,18
5,"WholeDisplay","Shape",6,0,4,18
5,"WholeDisplay","Shape",6,1,12,18
6,"SingleProbe","Binding",4,0,9,18
6,"SingleProbe","Binding",4,1,15,18
6,"SingleProbe","Binding",6,0,8,18
6,"SingleProbe","Binding",6,1,13,18
6,"SingleProbe","Colour",4,0,5,18
6,"SingleProbe","Colour",4,1,15,18
6,"SingleProbe","Colour",6,0,10,18
6,"SingleProbe","Colour",6,1,15,18
6,"SingleProbe","Shape",4,0,4,18
6,"SingleProbe","Shape",4,1,13,18
6,"SingleProbe","Shape",6,0,8,18
6,"SingleProbe","Shape",6,1,12,18
6,"WholeDisplay","Binding",4,0,6,18
6,"WholeDisplay","Binding",4,1,11,18
6,"WholeDisplay","Binding",6,0,6,18
6,"WholeDisplay","Binding",6,1,9,18
6,"WholeDisplay","Colour",4,0,4,18
6,"WholeDisplay","Colour",4,1,17,18
6,"WholeDisplay","Colour",6,0,0,18
6,"WholeDisplay","Colour",6,1,13,18
6,"WholeDisplay","Shape",4,0,1,18
6,"WholeDisplay","Shape",4,1,13,18
6,"WholeDisplay","Shape",6,0,5,18
6,"WholeDisplay","Shape",6,1,13,18
7,"SingleProbe","Binding",4,0,4,18
7,"SingleProbe","Binding",4,1,13,18
7,"SingleProbe","Binding",6,0,6,18
7,"SingleProbe","Binding",6,1,14,18
7,"SingleProbe","Colour",4,0,5,18
7,"SingleProbe","Colour",4,1,16,18
7,"SingleProbe","Colour",6,0,5,18
7,"SingleProbe","Colour",6,1,14,18
7,"SingleProbe","Shape",4,0,6,18
7,"SingleProbe","Shape",4,1,15,18
7,"SingleProbe","Shape",6,0,6,18
7,"SingleProbe","Shape",6,1,10,18
7,"WholeDisplay","Binding",4,0,8,18
7,"WholeDisplay","Binding",4,1,11,18
7,"WholeDisplay","Binding",6,0,11,18
7,"WholeDisplay","Binding",6,1,11,18
7,"WholeDisplay","Colour",4,0,6,18
7,"WholeDisplay","Colour",4,1,16,18
7,"WholeDisplay","Colour",6,0,4,18
7,"WholeDisplay","Colour",6,1,11,18
7,"WholeDisplay","Shape",4,0,2,18
7,"WholeDisplay","Shape",4,1,13,18
7,"WholeDisplay","Shape",6,0,9,18
7,"WholeDisplay","Shape",6,1,11,18
8,"SingleProbe","Binding",4,0,2,18
8,"SingleProbe","Binding",4,1,12,18
8,"SingleProbe","Binding",6,0,11,18
8,"SingleProbe","Binding",6,1,16,18
