"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
8,"SingleProbe","Colour",4,0,9,18
8,"SingleProbe","Colour",4,1,17,18
8,"SingleProbe","Colour",6,0,4,18
8,"SingleProbe","Colour",6,1,17,18
8,"SingleProbe","Shape",4,0,5,18
8,"SingleProbe","Shape",4,1,14,18
8,"SingleProbe","Shape",6,0,3,18
8,"SingleProbe","Shape",6,1,6,18
8,"WholeDisplay","Binding",4,0,5,18
8,"WholeDisplay","Binding",4,1,12,18
8,"WholeDisplay","Binding",6,0,9,18
8,"WholeDisplay","Binding",6,1,9,18
8,"WholeDisplay","Colour",4,0,2,18
8,"WholeDisplay","Colour",4,1,18,18
8,"WholeDisplay","Colour",6,0,3,18
8,"WholeDisplay","Colour",6,1,14,18
8,"WholeDisplay","Shape",4,0,5,18
8,"WholeDisplay","Shape",4,1,13,18
8,"WholeDisplay","Shape",6,0,3,18
8,"WholeDisplay","Shape",6,1,13,18
9,"SingleProbe","Binding",4,0,2,18
9,"SingleProbe","Binding",4,1,14,18
9,"SingleProbe","Binding",6,0,4,18
9,"SingleProbe","Binding",6,1,14,18
9,"SingleProbe","Colour",4,0,5,18
9,"SingleProbe","Colour",4,1,17,18
9,"SingleProbe","Colour",6,0,6,18
9,"SingleProbe","Colour",6,1,15,18
9,"SingleProbe","Shape",4,0,3,18
9,"SingleProbe","Shape",4,1,11,18
9,"SingleProbe","Shape",6,0,6,18
9,"SingleProbe","Shape",6,1,14,18
9,"WholeDisplay","Binding",4,0,3,18
9,"WholeDisplay","Binding",4,1,11,18
9,"WholeDisplay","Binding",6,0,3,18
9,"WholeDisplay","Binding",6,1,6,18
9,"WholeDisplay","Colour",4,0,2,18
9,"WholeDisplay","Colour",4,1,18,18
9,"WholeDisplay","Colour",6,0,2,18
9,"WholeDisplay","Colour",6,1,13,18
9,"WholeDisplay","Shape",4,0,1,18
9,"WholeDisplay","Shape",4,1,14,18
9,"WholeDisplay","Shape",6,0,5,18
9,"WholeDisplay","Shape",6,1,8,18
10,"SingleProbe","Binding",4,0,3,18
10,"SingleProbe","Binding",4,1,16,18
10,"SingleProbe","Binding",6,0,5,18
10,"SingleProbe","Binding",6,1,11,18
10,"SingleProbe","Colour",4,0,4,18
10,"SingleProbe","Colour",4,1,17,18
10,"SingleProbe","Colour",6,0,4,18
10,"SingleProbe","Colour",6,1,15,18
10,"SingleProbe","Shape",4,0,6,18
10,"SingleProbe","Shape",4,1,15,18
10,"SingleProbe","Shape",6,0,5,18
10,"SingleProbe","Shape",6,1,12,18
10,"WholeDisplay","Binding",4,0,1,18
10,"WholeDisplay","Binding",4,1,15,18
10,"WholeDisplay","Binding",6,0,2,18
10,"WholeDisplay","Binding",6,1,11,18
10,"WholeDisplay","Colour",4,0,2,18
10,"WholeDisplay","Colour",4,1,18,18
10,"WholeDisplay","Colour",6,0,2,18
10,"WholeDisplay","Colour",6,1,13,18
10,"WholeDisplay","Shape",4,0,1,18
10,"WholeDisplay","Shape",4,1,16,18
10,"WholeDisplay","Shape",6,0,0,18
10,"WholeDisplay","Shape",6,1,8,18
11,"SingleProbe","Binding",4,0,7,18
11,"SingleProbe","Binding",4,1,12,18
11,"SingleProbe","Binding",6,0,8,18
11,"SingleProbe","Binding",6,1,15,18
11,"SingleProbe","Colour",4,0,8,18
11,"SingleProbe","Colour",4,1,16,18
11,"SingleProbe","Colour",6,0,5,18
11,"SingleProbe","Colour",6,1,15,18
11,"SingleProbe","Shape",4,0,8,18
11,"SingleProbe","Shape",4,1,16,18
11,"SingleProbe","Shape",6,0,7,18
11,"SingleProbe","Shape",6,1,14,18
11,"WholeDisplay","Binding",4,0,5,18
11,"WholeDisplay","Binding",4,1,9,18
11,"WholeDisplay","Binding",6,0,6,18
11,"WholeDisplay","Binding",6,1,9,18
11,"WholeDisplay","Colour",4,0,2,18
11,"WholeDisplay","Colour",4,1,17,18
11,"WholeDisplay","Colour",6,0,0,18
11,"WholeDisplay","Colour",6,1,14,18
11,"WholeDisplay","Shape",4,0,0,18
11,"WholeDisplay","Shape",4,1,18,18
11,"WholeDisplay","Shape",6,0,1,18
11,"WholeDisplay","Shape",6,1,13,18
12,"SingleProbe","Binding",4,0,11,18
12,"SingleProbe","Binding",4,1,12,18
12,"SingleProbe","Binding",6,0,15,18
12,"SingleProbe","Binding",6,1,16,18
12,"SingleProbe","Colour",4,0,12,18
12,"SingleProbe","Colour",4,1,15,18
12,"SingleProbe","Colour",6,0,12,18
12,"SingleProbe","Colour",6,1,18,18
12,"SingleProbe","Shape",4,0,11,18
12,"SingleProbe","Shape",4,1,14,18
12,"SingleProbe","Shape",6,0,16,18
12,"SingleProbe","Shape",6,1,15,18
12,"WholeDisplay","Binding",4,0,9,18
12,"WholeDisplay","Binding",4,1,11,18
12,"WholeDisplay","Binding",6,0,8,18
12,"WholeDisplay","Binding",6,1,10,18
12,"WholeDisplay","Colour",4,0,5,18
12,"WholeDisplay","Colour",4,1,16,18
12,"WholeDisplay","Colour",6,0,3,18
12,"WholeDisplay","Colour",6,1,12,18
12,"WholeDisplay","Shape",4,0,5,18
12,"WholeDisplay","Shape",4,1,13,18
12,"WholeDisplay","Shape",6,0,7,18
12,"WholeDisplay","Shape",6,1,6,18
13,"SingleProbe","Binding",4,0,1,18
13,"SingleProbe","Binding",4,1,15,18
13,"SingleProbe","Binding",6,0,7,18
13,"SingleProbe","Binding",6,1,14,18
13,"SingleProbe","Colour",4,0,1,18
13,"SingleProbe","Colour",4,1,18,18
13,"SingleProbe","Colour",6,0,2,18
13,"SingleProbe","Colour",6,1,17,18
13,"SingleProbe","Shape",4,0,2,18
13,"SingleProbe","Shape",4,1,15,18
13,"SingleProbe","Shape",6,0,6,18
13,"SingleProbe","Shape",6,1,14,18
13,"WholeDisplay","Binding",4,0,4,18
13,"WholeDisplay","Binding",4,1,14,18
13,"WholeDisplay","Binding",6,0,4,18
13,"WholeDisplay","Binding",6,1,8,18
13,"WholeDisplay","Colour",4,0,0,18
13,"WholeDisplay","Colour",4,1,18,18
13,"WholeDisplay","Colour",6,0,2,18
13,"WholeDisplay","Colour",6,1,15,18
13,"WholeDisplay","Shape",4,0,0,18
13,"WholeDisplay","Shape",4,1,17,18
13,"WholeDisplay","Shape",6,0,3,18
13,"WholeDisplay","Shape",6,1,11,18
14,"SingleProbe","Binding",4,0,4,18
14,"SingleProbe","Binding",4,1,11,18
14,"SingleProbe","Binding",6,0,4,18
14,"SingleProbe","Binding",6,1,15,18
14,"SingleProbe","Colour",4,0,0,18
14,"SingleProbe","Colour",4,1,17,18
14,"SingleProbe","Colour",6,0,8,18
14,"SingleProbe","Colour",6,1,16,18
14,"SingleProbe","Shape",4,0,1,18
14,"SingleProbe","Shape",4,1,13,18
14,"SingleProbe","Shape",6,0,5,18
14,"SingleProbe","Shape",6,1,14,18
14,"WholeDisplay","Binding",4,0,0,18
14,"WholeDisplay","Binding",4,1,8,18
14,"WholeDisplay","Binding",6,0,5,18
14,"WholeDisplay","Binding",6,1,7,18
14,"WholeDisplay","Colour",4,0,0,18
14,"WholeDisplay","Colour",4,1,17,18
14,"WholeDisplay","Colour",6,0,1,18
14,"WholeDisplay","Colour",6,1,11,18
14,"WholeDisplay","Shape",4,0,0,18
14,"WholeDisplay","Shape",4,1,18,18
14,"WholeDisplay","Shape",6,0,0,18
14,"WholeDisplay","Shape",6,1,11,18
15,"SingleProbe","Binding",4,0,4,18
15,"SingleProbe","Binding",4,1,14,18
15,"SingleProbe","Binding",6,0,7,18
15,"SingleProbe","Binding",6,1,12,18
15,"SingleProbe","Colour",4,0,2,18
15,"SingleProbe","Colour",4,1,17,18
15,"SingleProbe","Colour",6,0,4,18
15,"SingleProbe","Colour",6,1,14,18
15,"SingleProbe","Shape",4,0,1,18
15,"SingleProbe","Shape",4,1,18,18
15,"SingleProbe","Shape",6,0,6,18
15,"SingleProbe","Shape",6,1,13,18
15,"WholeDisplay","Binding",4,0,3,18
15,"WholeDisplay","Binding",4,1,10,18
15,"WholeDisplay","Binding",6,0,2,18
15,"WholeDisplay","Binding",6,1,9,18
15,"WholeDisplay","Colour",4,0,1,18
15,"WholeDisplay","Colour",4,1,17,18
15,"WholeDisplay","Colour",6,0,2,18
15,"WholeDisplay","Colour",6,1,16,18
15,"WholeDisplay","Shape",4,0,4,18
15,"WholeDisplay","Shape",4,1,16,18
15,"WholeDisplay","Shape",6,0,2,18
15,"WholeDisplay","Shape",6,1,8,18
16,"SingleProbe","Binding",4,0,11,18
16,"SingleProbe","Binding",4,1,14,18
16,"SingleProbe","Binding",6,0,15,18
16,"SingleProbe","Binding",6,1,15,18
16,"SingleProbe","Colour",4,0,7,18
16,"SingleProbe","Colour",4,1,16,18
16,"SingleProbe","Colour",6,0,13,18
16,"SingleProbe","Colour",6,1,17,18
16,"SingleProbe","Shape",4,0,4,18
16,"SingleProbe","Shape",4,1,14,18
16,"SingleProbe","Shape",6,0,11,18
16,"SingleProbe","Shape",6,1,14,18
16,"WholeDisplay","Binding",4,0,5,18
16,"WholeDisplay","Binding",4,1,15,18
16,"WholeDisplay","Binding",6,0,5,18
16,"WholeDisplay","Binding",6,1,11,18
16,"WholeDisplay","Colour",4,0,9,18
16,"WholeDisplay","Colour",4,1,16,18
16,"WholeDisplay","Colour",6,0,2,18
16,"WholeDisplay","Colour",6,1,14,18
16,"WholeDisplay","Shape",4,0,3,18
16,"WholeDisplay","Shape",4,1,14,18
16,"WholeDisplay","Shape",6,0,8,18
16,"WholeDisplay","Shape",6,1,11,18
17,"SingleProbe","Binding",4,0,6,18
17,"SingleProbe","Binding",4,1,11,18
17,"SingleProbe","Binding",6,0,12,18
17,"SingleProbe","Binding",6,1,11,18
17,"SingleProbe","Colour",4,0,5,18
17,"SingleProbe","Colour",4,1,15,18
17,"SingleProbe","Colour",6,0,8,18
17,"SingleProbe","Colour",6,1,16,18
17,"SingleProbe","Shape",4,0,6,18
17,"SingleProbe","Shape",4,1,11,18
17,"SingleProbe","Shape",6,0,9,18
17,"SingleProbe","Shape",6,1,13,18
17,"WholeDisplay","Binding",4,0,6,18
17,"WholeDisplay","Binding",4,1,7,18
17,"WholeDisplay","Binding",6,0,6,18
17,"WholeDisplay","Binding",6,1,10,18
17,"WholeDisplay","Colour",4,0,6,18
17,"WholeDisplay","Colour",4,1,16,18
17,"WholeDisplay","Colour",6,0,5,18
17,"WholeDisplay","Colour",6,1,15,18
17,"WholeDisplay","Shape",4,0,3,18
17,"WholeDisplay","Shape",4,1,14,18
17,"WholeDisplay","Shape",6,0,6,18
17,"WholeDisplay","Shape",6,1,10,18
18,"SingleProbe","Binding",4,0,3,18
18,"SingleProbe","Binding",4,1,13,18
18,"SingleProbe","Binding",6,0,8,18
18,"SingleProbe","Binding",6,1,8,18
18,"SingleProbe","Colour",4,0,5,18
18,"SingleProbe","Colour",4,1,17,18
18,"SingleProbe","Colour",6,0,9,18
18,"SingleProbe","Colour",6,1,16,18
18,"SingleProbe","Shape",4,0,4,18
18,"SingleProbe","Shape",4,1,13,18
18,"SingleProbe","Shape",6,0,7,18
18,"SingleProbe","Shape",6,1,11,18
18,"WholeDisplay","Binding",4,0,6,18
18,"WholeDisplay","Binding",4,1,14,18
18,"WholeDisplay","Binding",6,0,11,18
18,"WholeDisplay","Binding",6,1,9,18
18,"WholeDisplay","Colour",4,0,8,18
18,"WholeDisplay","Colour",4,1,15,18
18,"WholeDisplay","Colour",6,0,10,18
18,"WholeDisplay","Colour",6,1,8,18
18,"WholeDisplay","Shape",4,0,8,18
18,"WholeDisplay","Shape",4,1,6,18
18,"WholeDisplay","Shape",6,0,11,18
18,"WholeDisplay","Shape",6,1,11,18
19,"SingleProbe","Binding",4,0,3,18
19,"SingleProbe","Binding",4,1,14,18
19,"SingleProbe","Binding",6,0,7,18
19,"SingleProbe","Binding",6,1,11,18
19,"SingleProbe","Colour",4,0,2,18
19,"SingleProbe","Colour",4,1,17,18
19,"SingleProbe","Colour",6,0,5,18
19,"SingleProbe","Colour",6,1,15,18
19,"SingleProbe","Shape",4,0,4,18
19,"SingleProbe","Shape",4,1,16,18
19,"SingleProbe","Shape",6,0,6,18
19,"SingleProbe","Shape",6,1,11,18
19,"WholeDisplay","Binding",4,0,1,18
19,"WholeDisplay","Binding",4,1,10,18
19,"WholeDisplay","Binding",6,0,4,18
19,"WholeDisplay","Binding",6,1,10,18
19,"WholeDisplay","Colour",4,0,7,18
19,"WholeDisplay","Colour",4,1,18,18
19,"WholeDisplay","Colour",6,0,5,18
19,"WholeDisplay","Colour",6,1,13,18
19,"WholeDisplay","Shape",4,0,5,18
19,"WholeDisplay","Shape",4,1,16,18
19,"WholeDisplay","Shape",6,0,7,18
19,"WholeDisplay","Shape",6,1,9,18
20,"SingleProbe","Binding",4,0,3,18
20,"SingleProbe","Binding",4,1,10,18
20,"SingleProbe","Binding",6,0,7,18
20,"SingleProbe","Binding",6,1,13,18
20,"SingleProbe","Colour",4,0,2,18
20,"SingleProbe","Colour",4,1,13,18
20,"SingleProbe","Colour",6,0,10,18
20,"SingleProbe","Colour",6,1,11,18
20,"SingleProbe","Shape",4,0,6,18
20,"SingleProbe","Shape",4,1,15,18
20,"SingleProbe","Shape",6,0,4,18
20,"SingleProbe","Shape",6,1,13,18
20,"WholeDisplay","Binding",4,0,2,18
20,"WholeDisplay","Binding",4,1,4,18
20,"WholeDisplay","Binding",6,0,3,18
20,"WholeDisplay","Binding",6,1,5,18
20,"WholeDisplay","Colour",4,0,2,18
20,"WholeDisplay","Colour",4,1,15,18
20,"WholeDisplay","Colour",6,0,3,18
20,"WholeDisplay","Colour",6,1,11,18
20,"WholeDisplay","Shape",4,0,1,18
20,"WholeDisplay","Shape",4,1,14,18
20,"WholeDisplay","Shape",6,0,1,18
20,"WholeDisplay","Shape",6,1,5,18
21,"SingleProbe","Binding",4,0,4,18
21,"SingleProbe","Binding",4,1,16,18
21,"SingleProbe","Binding",6,0,7,18
21,"SingleProbe","Binding",6,1,14,18
21,"SingleProbe","Colour",4,0,2,18
21,"SingleProbe","Colour",4,1,13,18
21,"SingleProbe","Colour",6,0,7,18
21,"SingleProbe","Colour",6,1,15,18
21,"SingleProbe","Shape",4,0,11,18
21,"SingleProbe","Shape",4,1,15,18
21,"SingleProbe","Shape",6,0,7,18
21,"SingleProbe","Shape",6,1,11,18
21,"WholeDisplay","Binding",4,0,5,18
21,"WholeDisplay","Binding",4,1,6,18
21,"WholeDisplay","Binding",6,0,8,18
21,"WholeDisplay","Binding",6,1,9,18
21,"WholeDisplay","Colour",4,0,2,18
21,"WholeDisplay","Colour",4,1,15,18
21,"WholeDisplay","Colour",6,0,7,18
21,"WholeDisplay","Colour",6,1,13,18
21,"WholeDisplay","Shape",4,0,5,18
21,"WholeDisplay","Shape",4,1,10,18
21,"WholeDisplay","Shape",6,0,4,18
21,"WholeDisplay","Shape",6,1,9,18
22,"SingleProbe","Binding",4,0,3,18
22,"SingleProbe","Binding",4,1,11,18
22,"SingleProbe","Binding",6,0,13,18
22,"SingleProbe","Binding",6,1,15,18
22,"SingleProbe","Colour",4,0,1,18
22,"SingleProbe","Colour",4,1,15,18
22,"SingleProbe","Colour",6,0,6,18
22,"SingleProbe","Colour",6,1,18,18
22,"SingleProbe","Shape",4,0,0,18
22,"SingleProbe","Shape",4,1,15,18
22,"SingleProbe","Shape",6,0,5,18
22,"SingleProbe","Shape",6,1,15,18
22,"WholeDisplay","Binding",4,0,5,18
22,"WholeDisplay","Binding",4,1,11,18
22,"WholeDisplay","Binding",6,0,6,18
22,"WholeDisplay","Binding",6,1,11,18
22,"WholeDisplay","Colour",4,0,4,18
22,"WholeDisplay","Colour",4,1,18,18
22,"WholeDisplay","Colour",6,0,4,18
22,"WholeDisplay","Colour",6,1,14,18
22,"WholeDisplay","Shape",4,0,2,18
22,"WholeDisplay","Shape",4,1,11,18
22,"WholeDisplay","Shape",6,0,4,18
22,"WholeDisplay","Shape",6,1,13,18
23,"SingleProbe","Binding",4,0,2,18
23,"SingleProbe","Binding",4,1,17,18
23,"SingleProbe","Binding",6,0,7,18
23,"SingleProbe","Binding",6,1,14,18
23,"SingleProbe","Colour",4,0,1,18
23,"SingleProbe","Colour",4,1,16,18
23,"SingleProbe","Colour",6,0,7,18
23,"SingleProbe","Colour",6,1,17,18
23,"SingleProbe","Shape",4,0,2,18
23,"SingleProbe","Shape",4,1,17,18
23,"SingleProbe","Shape",6,0,7,18
23,"SingleProbe","Shape",6,1,18,18
23,"WholeDisplay","Binding",4,0,2,18
23,"WholeDisplay","Binding",4,1,11,18
23,"WholeDisplay","Binding",6,0,1,18
23,"WholeDisplay","Binding",6,1,7,18
23,"WholeDisplay","Colour",4,0,1,18
23,"WholeDisplay","Colour",4,1,14,18
23,"WholeDisplay","Colour",6,0,2,18
23,"WholeDisplay","Colour",6,1,12,18
23,"WholeDisplay","Shape",4,0,1,18
23,"WholeDisplay","Shape",4,1,15,18
23,"WholeDisplay","Shape",6,0,1,18
23,"WholeDisplay","Shape",6,1,7,18
24,"SingleProbe","Binding",4,0,6,18
24,"SingleProbe","Binding",4,1,10,18
24,"SingleProbe","Binding",6,0,4,18
24,"SingleProbe","Binding",6,1,11,18
24,"SingleProbe","Colour",4,0,6,18
24,"SingleProbe","Colour",4,1,16,18
24,"SingleProbe","Colour",6,0,7,18
24,"SingleProbe","Colour",6,1,17,18
24,"SingleProbe","Shape",4,0,1,18
24,"SingleProbe","Shape",4,1,13,18
24,"SingleProbe","Shape",6,0,9,18
24,"SingleProbe","Shape",6,1,10,18
24,"WholeDisplay","Binding",4,0,6,18
24,"WholeDisplay","Binding",4,1,12,18
24,"WholeDisplay","Binding",6,0,4,18
24,"WholeDisplay","Binding",6,1,10,18
24,"WholeDisplay","Colour",4,0,5,18
24,"WholeDisplay","Colour",4,1,17,18
24,"WholeDisplay","Colour",6,0,2,18
24,"WholeDisplay","Colour",6,1,12,18
24,"WholeDisplay","Shape",4,0,2,18
24,"WholeDisplay","Shape",4,1,11,18
24,"WholeDisplay","Shape",6,0,2,18
24,"WholeDisplay","Shape",6,1,11,18
