"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
6,"DualProbe","Colour",4,1,18,18
6,"DualProbe","Colour",6,0,0,18
6,"DualProbe","Colour",6,1,16,18
6,"DualProbe","Shape",4,0,1,18
6,"DualProbe","Shape",4,1,14,18
6,"DualProbe","Shape",6,0,4,18
6,"DualProbe","Shape",6,1,12,18
6,"WholeDisplay","Binding",4,0,3,18
6,"WholeDisplay","Binding",4,1,12,18
6,"WholeDisplay","Binding",6,0,3,18
6,"WholeDisplay","Binding",6,1,11,18
6,"WholeDisplay","Colour",4,0,0,18
6,"WholeDisplay","Colour",4,1,16,18
6,"WholeDisplay","Colour",6,0,4,18
6,"WholeDisplay","Colour",6,1,12,18
6,"WholeDisplay","Shape",4,0,1,18
6,"WholeDisplay","Shape",4,1,15,18
6,"WholeDisplay","Shape",6,0,2,18
6,"WholeDisplay","Shape",6,1,5,18
7,"DualProbe","Binding",4,0,4,18
7,"DualProbe","Binding",4,1,13,18
7,"DualProbe","Binding",6,0,6,18
7,"DualProbe","Binding",6,1,13,18
7,"DualProbe","Colour",4,0,3,18
7,"DualProbe","Colour",4,1,17,18
7,"DualProbe","Colour",6,0,11,18
7,"DualProbe","Colour",6,1,15,18
7,"DualProbe","Shape",4,0,2,18
7,"DualProbe","Shape",4,1,16,18
7,"DualProbe","Shape",6,0,5,18
7,"DualProbe","Shape",6,1,14,18
7,"WholeDisplay","Binding",4,0,4,18
7,"WholeDisplay","Binding",4,1,7,18
7,"WholeDisplay","Binding",6,0,6,18
7,"WholeDisplay","Binding",6,1,8,18
7,"WholeDisplay","Colour",4,0,0,18
7,"WholeDisplay","Colour",4,1,14,18
7,"WholeDisplay","Colour",6,0,2,18
7,"WholeDisplay","Colour",6,1,10,18
7,"WholeDisplay","Shape",4,0,2,18
7,"WholeDisplay","Shape",4,1,13,18
7,"WholeDisplay","Shape",6,0,2,18
7,"WholeDisplay","Shape",6,1,9,18
8,"DualProbe","Binding",4,0,1,18
8,"DualProbe","Binding",4,1,13,18
8,"DualProbe","Binding",6,0,3,18
8,"DualProbe","Binding",6,1,15,18
8,"DualProbe","Colour",4,0,5,18
8,"DualProbe","Colour",4,1,18,18
8,"DualProbe","Colour",6,0,4,18
8,"DualProbe","Colour",6,1,14,18
8,"DualProbe","Shape",4,0,0,18
8,"DualProbe","Shape",4,1,17,18
8,"DualProbe","Shape",6,0,9,18
8,"DualProbe","Shape",6,1,16,18
8,"WholeDisplay","Binding",4,0,1,18
8,"WholeDisplay","Binding",4,1,15,18
8,"WholeDisplay","Binding",6,0,1,18
8,"WholeDisplay","Binding",6,1,12,18
8,"WholeDisplay","Colour",4,0,0,18
8,"WholeDisplay","Colour",4,1,16,18
8,"WholeDisplay","Colour",6,0,1,18
8,"WholeDisplay","Colour",6,1,15,18
8,"WholeDisplay","Shape",4,0,1,18
8,"WholeDisplay","Shape",4,1,12,18
8,"WholeDisplay","Shape",6,0,4,18
8,"WholeDisplay","Shape",6,1,15,18
9,"DualProbe","Binding",4,0,2,18
9,"DualProbe","Binding",4,1,11,18
9,"DualProbe","Binding",6,0,4,18
9,"DualProbe","Binding",6,1,17,18
9,"DualProbe","Colour",4,0,2,18
9,"DualProbe","Colour",4,1,16,18
9,"DualProbe","Colour",6,0,6,18
9,"DualProbe","Colour",6,1,15,18
9,"DualProbe","Shape",4,0,2,18
9,"DualProbe","Shape",4,1,16,18
9,"DualProbe","Shape",6,0,6,18
9,"DualProbe","Shape",6,1,11,18
9,"WholeDisplay","Binding",4,0,4,18
9,"WholeDisplay","Binding",4,1,10,18
9,"WholeDisplay","Binding",6,0,2,18
